date,T_avg,T_max,T_min,humidity_avg,rain_mm,avg_wind_kmh,wind_dir,max_wind_kmh,pressure_avg,radiation_avg
2010-11-12,12.722916666666668,20.2,6.3,68.54166666666667,0.0,6.1625000000000005,322.06549761016174,27.0,1017.7729166666667,134.5625
2010-11-13,13.433333333333332,20.5,8.1,69.5625,0.0,8.8125,265.0002593335383,27.7,1011.5166666666668,122.125
2010-11-14,12.13125,18.6,6.1,82.20833333333333,0.0,3.96875,283.6057725692241,14.4,1007.7875,96.35416666666667
2010-11-15,11.083333333333334,15.0,6.6,72.375,0.0,8.90625,291.21285623450046,28.8,1011.65,100.72916666666667
2010-11-16,10.71875,16.2,5.2,51.208333333333336,0.0,13.11875,288.4016736988577,40.7,1015.6229166666667,136.3125
2010-11-17,7.247916666666666,11.2,2.0,71.66666666666667,0.1,7.333333333333333,308.5075450031714,29.2,1009.80625,55.645833333333336
2010-11-18,7.666666666666667,13.1,2.7,77.27083333333333,0.0,6.6499999999999995,310.62225289799574,24.5,1013.7541666666666,127.04166666666667
2010-11-19,5.991666666666667,10.5,0.7,85.1875,0.0,2.7458333333333336,273.55056987652506,10.8,1017.6958333333333,54.0
2010-11-20,6.45,11.2,2.5,86.08333333333333,2.0,5.870833333333334,259.08181697130146,25.2,1010.1708333333332,52.875
2010-11-21,7.739583333333333,12.0,3.4,77.1875,0.0,9.241666666666667,272.26693393194944,40.3,1002.025,110.8125
2010-11-22,7.4875,13.1,2.4,73.35416666666667,0.0,8.733333333333333,284.81487871835213,26.6,1003.80625,118.22916666666667
2010-11-23,6.2,12.3,1.1,73.45833333333333,0.0,6.327083333333333,317.8628428600707,28.8,1008.8041666666667,124.22916666666667
2010-11-24,5.070833333333334,11.5,-0.1,74.625,0.0,4.870833333333334,288.69335258673414,22.7,1012.7125,118.6875
2010-11-25,4.858333333333333,10.3,-1.1,72.64583333333333,0.0,8.570833333333333,287.1470911329203,40.3,1009.8166666666666,119.4375
2010-11-26,3.96875,10.2,-0.8,68.52083333333333,0.0,6.820833333333333,279.6461926137081,28.8,1009.00625,121.52083333333333
2010-11-27,5.360416666666667,11.2,0.1,67.6875,0.2,4.572916666666667,325.1680268020226,20.5,1003.6104166666668,112.5
2010-11-28,5.716666666666666,11.3,-0.4,61.604166666666664,0.0,7.729166666666667,286.69546926662315,38.2,1001.4541666666668,101.20833333333333
2010-11-29,3.3874999999999997,7.7,-2.0,75.6875,0.30000000000000004,5.639583333333333,359.53364592466227,18.7,1007.2062500000001,37.791666666666664
2010-11-30,6.583333333333333,9.1,3.7,93.41666666666667,14.0,5.6375,332.8288478516872,18.4,998.5812500000001,30.916666666666668
2010-12-01,6.545833333333333,10.7,2.0,75.125,0.0,10.833333333333334,267.13288716087646,43.2,1000.3416666666667,108.89583333333333
2010-12-02,4.325,8.9,0.2,67.60416666666667,0.0,10.05,273.6319824810402,35.6,1008.19375,87.66666666666667
2010-12-03,3.9270833333333335,9.2,-1.4,62.729166666666664,0.0,10.633333333333333,279.59949875128984,36.7,1013.06875,112.95833333333333
2010-12-04,2.2604166666666665,9.1,-3.0,71.5625,0.0,4.675,295.84520252601897,19.1,1021.5604166666667,108.4375
2010-12-05,6.675,11.1,0.5,80.14583333333333,0.0,7.03125,255.5487939234265,25.6,1014.3249999999999,50.875
2010-12-06,12.060416666666667,18.3,8.0,74.45833333333333,0.0,9.072916666666666,256.84309980801913,29.5,1002.6687499999999,57.375
2010-12-07,14.6,19.1,9.4,69.25,0.0,9.616666666666667,263.177342790077,25.9,1002.81875,68.29166666666667
2010-12-08,14.577083333333334,19.5,11.0,72.33333333333333,1.4,9.36875,258.05574649984385,31.3,1008.4375,74.35416666666667
2010-12-09,12.302083333333334,15.7,10.0,86.97916666666667,0.2,5.20625,230.87958400474542,20.2,1020.1041666666666,44.875
2010-12-10,9.654166666666667,14.5,4.2,82.875,0.0,4.816666666666666,273.81667509724184,22.0,1028.6583333333333,100.1875
2010-12-11,6.777083333333334,15.8,1.2,74.35416666666667,0.1,4.329166666666667,271.44511354172704,16.6,1024.4229166666667,105.0
2010-12-12,7.179166666666667,16.7,1.7,69.02083333333333,0.0,3.1125000000000003,292.0558978797376,11.9,1012.9812499999999,88.8125
2010-12-13,7.316666666666666,11.3,2.2,80.6875,0.0,4.333333333333333,273.7974614605631,24.1,1014.1895833333333,60.375
2010-12-14,6.345833333333334,9.0,0.9,69.29166666666667,0.2,5.245833333333334,25.339002949904827,18.7,1019.69375,45.104166666666664
2010-12-15,2.377083333333333,8.9,-4.0,53.416666666666664,0.0,7.839583333333334,312.70108829507876,30.2,1021.4729166666666,107.85416666666667
2010-12-16,3.4145833333333333,7.8,-1.6,38.770833333333336,0.0,11.854166666666666,278.6856013969907,37.4,1018.0354166666666,110.77083333333333
2010-12-17,3.1791666666666667,8.1,-0.4,64.27083333333333,0.0,11.920833333333334,286.4735845034125,44.3,1004.5,73.60416666666667
2010-12-18,2.8666666666666667,9.5,-1.1,76.66666666666667,0.0,3.8666666666666667,349.09797115315206,15.5,1004.9291666666667,93.70833333333333
2010-12-19,6.3125,14.6,1.4,75.14583333333333,0.1,3.922916666666667,268.6310819012418,14.4,1002.9833333333332,73.875
2010-12-20,6.252083333333334,13.4,0.5,69.35416666666667,0.0,9.041666666666666,281.7096277005926,39.2,1009.9916666666667,93.89583333333333
2010-12-21,5.879166666666666,8.7,1.1,94.5,7.7,2.1729166666666666,332.25580330844997,9.0,1004.2604166666666,8.875
2010-12-22,9.416666666666666,12.8,4.4,97.66666666666667,5.5,4.208333333333333,27.798029029726997,15.8,997.9083333333333,28.0625
2010-12-23,10.575000000000001,14.7,7.4,84.29166666666667,11.3,8.575000000000001,311.37840897223117,29.5,993.3729166666667,79.6875
2010-12-24,6.747916666666666,11.6,1.1,66.1875,0.0,10.497916666666667,314.6988869093611,35.3,1002.4562500000001,104.9375
2010-12-25,3.8541666666666665,9.4,-2.0,46.354166666666664,0.0,9.9125,303.497487843864,41.0,1011.1854166666667,110.16666666666667
2010-12-26,1.1270833333333334,8.5,-4.0,50.354166666666664,0.0,5.820833333333334,328.9737632867026,26.3,1018.4916666666667,112.75
